"1080,""Schützenstraße"",""73"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.640470610931516 49.39885487314314)"""
"1081,""Sandwingert"",""103"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.642345279455185 49.421783642843366)"""
"1082,""Emmendinger Weg"",""6"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.679762774147093 49.37461532559246)"""
"1083,""Waldweg"",""25"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.697357965633273 49.42995643429458)"""
"1084,""Alte Glockengießerei"",""11"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.684850649908185 49.406659949570894)"""
"1085,""Schneegasse"",""4"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.668766586109996 49.37614530697465)"""
"1086,""Am Büchsenackerhang"",""64"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.749718486331403 49.42261266987771)"""
"1087,""Wilhelmstraße"",""5"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.636452918872237 49.401189303956926)"""
"1088,""Im Buschgewann"",""55"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.644697800278664 49.39699269924313)"""
"1089,""Emmertsgrundpassage"",""3"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.705511943437159 49.36896069999784)"""
"1090,""Waldhofer Straße"",""12"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.642566649243236 49.42640474997461)"""
"1091,""Zähringerstraße"",""61"",""69115"",""Heidelberg"",""Deutschland"",""POINT (8.683643825352192 49.40151949413121)"""
"1092,""Rischerstraße"",""7"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.638319499790668 49.43055409938097)"""
"1093,""Konradgasse"",""12"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.665145329199731 49.380472945049405)"""
"1094,""Plöck"",""56"",""69117"",""Heidelberg"",""Deutschland"",""POINT (8.7037821 49.409426)"""
"1095,""Peterstaler Straße"",""26"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.756972962990403 49.41992522589862)"""
"1096,""Carl-Zuckmayer-Straße"",""5"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.704515675082803 49.362296047620475)"""
"1097,""Steinhofweg"",""95"",""69123"",""Heidelberg"",""Deutschland"",""POINT (8.644587872549891 49.39378698263317)"""
"1098,""Furchgasse"",""6"",""69120"",""Heidelberg"",""Deutschland"",""POINT (8.681848503649235 49.413040169514716)"""
"1099,""Trübnerstraße"",""61"",""69121"",""Heidelberg"",""Deutschland"",""POINT (8.678783349692822 49.43280360009521)"""
"1100,""Rainweg"",""99"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.746644554659724 49.43166201747954)"""
"1101,""Peter-Wenzel-Weg"",""42"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.758600352331996 49.44382985960692)"""
"1102,""Wolfgangstraße"",""30"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.671525101177394 49.37571656052023)"""
"1103,""Ziegelhäuser Landstraße"",""17"",""69120"",""Heidelberg"",""Deutschland"",""POINT (8.7130087018013 49.41566705238074)"""
"1104,""Peterstaler Straße"",""111"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.750439699739218 49.426304299384356)"""
"1105,""Breslauer Straße"",""33"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.66733917593956 49.384589245542884)"""
"1106,""Gutleuthofweg"",""30"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.768487920053303 49.41288089565933)"""
"1107,""Moselbrunnenweg"",""2"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.757608567364514 49.418397806584835)"""
"1108,""Kühler Grund"",""34"",""69126"",""Heidelberg"",""Deutschland"",""POINT (8.699256733991206 49.37777967937291)"""
"1109,""Am Grünen Hag"",""22"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.770419901236892 49.41362621728331)"""
"1110,""Hauptstraße"",""54"",""69117"",""Heidelberg"",""Deutschland"",""POINT (8.698361705057323 49.41045980621129)"""
"1111,""Schwetzinger Straße"",""110"",""69124"",""Heidelberg"",""Deutschland"",""POINT (8.672704473137856 49.38317576982081)"""
"1112,""In der Neckarhelle"",""56"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.750690369866788 49.417354786768556)"""
"1113,""Schönauer Straße"",""35"",""69118"",""Heidelberg"",""Deutschland"",""POINT (8.76619659923017 49.41763978358358)"""
"1114,""Fischergasse"",""14"",""69117"",""Heidelberg"",""Deutschland"",""POINT (8.710528943687677 49.41273940820247)"""
